GameNumber,Date,Color,Opponent,Result,Outcome,MyElo,OpponentElo,TimeControl,ECO,Opening,Termination,Site,NumPlies
961,2024.01.01,Black,tegularius3,1-0,Loss,406,486,180+2,B10,,tegularius3 won on time,Chess.com,61
962,2024.01.01,White,alshardari,1-0,Win,685,684,600,C40,,KatsMeow23 won by checkmate,Chess.com,67
963,2024.01.01,Black,Alikirose,0-1,Win,689,478,600,A04,,KatsMeow23 won by resignation,Chess.com,66
964,2024.01.01,White,Alikirose,1-0,Win,693,474,600,C23,,KatsMeow23 won by resignation,Chess.com,52
965,2024.01.01,Black,OMoster,1-0,Loss,397,378,180+2,D00,,OMoster won on time,Chess.com,63
966,2024.01.02,White,martinmaartesson,1-0,Win,405,400,180+2,A04,,KatsMeow23 won by checkmate,Chess.com,47
967,2024.01.02,White,Heemchka,0-1,Loss,398,475,180+2,C20,,Heemchka won on time,Chess.com,66
968,2024.01.02,Black,Maverickboss03,1-0,Loss,391,427,180+2,A45,,Maverickboss03 won on time,Chess.com,39
969,2024.01.02,Black,dob-mayoman,1-0,Loss,383,400,180+2,B10,,dob-mayoman won on time,Chess.com,63
970,2023.12.14,White,lap10502300,0-1,Loss,858,1039,1/604800,B10,,lap10502300 won by checkmate,Chess.com,64
971,2024.01.02,White,Rikareng,0-1,Loss,684,668,600,C41,,Rikareng won by checkmate,Chess.com,36
972,2024.01.02,Black,MikeLetoris7,0-1,Win,691,636,600,B12,,KatsMeow23 won by resignation,Chess.com,24
973,2024.01.02,White,MikeLetoris7,1-0,Win,698,629,600,B00,,KatsMeow23 won by resignation,Chess.com,11
974,2024.01.02,White,el-gato-picante,1-0,Win,704,584,600,C57,,KatsMeow23 won by resignation,Chess.com,57
975,2024.01.02,White,Beckouz,0-1,Loss,376,421,180+2,C50,,Beckouz won by resignation,Chess.com,10
976,2024.01.02,Black,rudo_hit,0-1,Win,385,430,180+2,A01,,KatsMeow23 won by checkmate,Chess.com,40
977,2024.01.03,Black,MANUElezx,0-1,Win,391,306,180+2,B12,,KatsMeow23 won by checkmate,Chess.com,76
978,2024.01.03,White,ArmpitWeasel,0-1,Loss,694,627,600,C42,,ArmpitWeasel won by resignation,Chess.com,36
979,2024.01.03,Black,zandwiches,1-0,Loss,686,689,600,B10,,zandwiches won by checkmate,Chess.com,49
980,2024.01.03,White,BizNasty73,1-0,Win,398,345,180+2,B10,,KatsMeow23 won on time,Chess.com,47
981,2024.01.03,White,Lokus2023,0-1,Loss,389,345,180+2,C50,,Lokus2023 won on time,Chess.com,56
982,2024.01.03,Black,radykros,0-1,Win,396,336,180+2,B10,,KatsMeow23 won on time,Chess.com,54
983,2024.01.03,White,martinnnno9,1-0,Win,407,517,180+2,C50,,KatsMeow23 won by checkmate,Chess.com,139
984,2024.01.03,Black,lucasfuller06,0-1,Win,691,555,600,B12,,KatsMeow23 won by resignation,Chess.com,12
985,2024.01.03,Black,ZooperDo0per,1-0,Loss,680,554,600,B01,,ZooperDo0per won on time,Chess.com,79
986,2024.01.03,White,Mrjfisher,0-1,Loss,669,557,600,B10,,Mrjfisher won by checkmate,Chess.com,42
987,2024.01.03,Black,caesarThwabi,1-0,Loss,399,410,180+2,B10,,caesarThwabi won on time,Chess.com,41
988,2024.01.03,White,heckienawj0e,0-1,Loss,390,380,180+2,C50,,heckienawj0e won on time,Chess.com,58
989,2024.01.04,White,klkdrt,0-1,Loss,383,431,180+2,C00,,klkdrt won on time,Chess.com,64
990,2024.01.04,White,slohs,1-0,Win,390,333,180+2,B10,,KatsMeow23 won by resignation,Chess.com,32
991,2024.01.04,Black,Jfinn04,1-0,Loss,384,495,180+2,B12,,Jfinn04 won on time,Chess.com,37
992,2024.01.04,Black,snowytripod,1-0,Loss,376,399,180+2,B15,,snowytripod won by checkmate,Chess.com,27
993,2024.01.04,White,corbingd,0-1,Loss,368,393,180+2,B27,,corbingd won on time,Chess.com,80
994,2024.01.04,White,ivanaleksander,1-0,Win,375,324,180+2,C57,,KatsMeow23 won by resignation,Chess.com,9
995,2024.01.04,Black,lempyra,0-1,Win,382,337,180+2,B12,,KatsMeow23 won on time,Chess.com,76
996,2024.01.04,White,7Lusitan7,1-0,Win,391,435,180+2,B00,,KatsMeow23 won by resignation,Chess.com,29
997,2024.01.04,Black,intrinsichallow,1-0,Loss,383,413,180+2,B15,,intrinsichallow won on time,Chess.com,41
998,2024.01.04,Black,rmcastao,0-1,Win,392,436,180+2,B10,,KatsMeow23 won by resignation,Chess.com,57
999,2024.01.04,White,ajoj18,0-1,Loss,385,429,180+2,C00,,ajoj18 won - game abandoned,Chess.com,28
1000,2024.01.04,White,Tisham99,0-1,Loss,376,379,180+2,C50,,Tisham99 won by checkmate,Chess.com,32
1001,2024.01.04,Black,Bluejaidee,1-0,Loss,368,396,180+2,B15,,Bluejaidee won on time,Chess.com,55
1002,2024.01.04,White,clem1245fa,1-0,Win,376,339,180+2,C50,,KatsMeow23 won on time,Chess.com,63
1003,2024.01.04,Black,GibTheSucc,1-0,Loss,367,322,180+2,B10,,GibTheSucc won on time,Chess.com,55
1004,2024.01.05,White,JensenHakon,0-1,Loss,360,412,180+2,B10,,JensenHakon won on time,Chess.com,64
1005,2024.01.05,White,mirahk,1-0,Win,368,365,180+2,C50,,KatsMeow23 won by resignation,Chess.com,11
1006,2024.01.05,Black,reekamtekda,1-0,Loss,359,348,180+2,B10,,reekamtekda won on time,Chess.com,55
1007,2024.01.05,Black,choudb,0-1,Win,369,427,180+2,B12,,KatsMeow23 won on time,Chess.com,74
1008,2024.01.05,Black,Forsmo,0-1,Win,377,334,180+2,D00,,KatsMeow23 won on time,Chess.com,44
1009,2024.01.05,White,prafbits,1-0,Win,386,407,180+2,B10,,KatsMeow23 won by checkmate,Chess.com,41
1010,2024.01.06,Black,Dannikinverji,0-1,Win,394,370,180+2,D00,,KatsMeow23 won by checkmate,Chess.com,44
1011,2024.01.06,White,LilBigHuge,1-0,Win,403,412,180+2,C57,,KatsMeow23 won on time,Chess.com,83
1012,2024.01.06,Black,LilBigHuge,0-1,Win,411,404,180+2,B10,,KatsMeow23 won by checkmate,Chess.com,56
1013,2024.01.06,Black,markk03,1-0,Loss,404,460,180+2,B10,,markk03 won on time,Chess.com,47
1014,2024.01.06,White,dujuancaldwell,0-1,Loss,398,486,180+2,C50,,dujuancaldwell won by resignation,Chess.com,48
1015,2024.01.06,Black,LakshTripathi,0-1,Win,405,354,180+2,B10,,KatsMeow23 won by resignation,Chess.com,12
1016,2024.01.06,White,bloonkie,1-0,Win,415,491,180+2,B01,,KatsMeow23 won by checkmate,Chess.com,107
1017,2024.01.06,Black,bloonkie,1/2-1/2,Draw,417,489,180+2,B15,,Game drawn by timeout vs insufficient material,Chess.com,101
1018,2024.01.06,White,kaspianmo,0-1,Loss,411,498,180+2,C40,,kaspianmo won on time,Chess.com,78
1019,2024.01.06,Black,sns6,0-1,Win,421,500,180+2,A40,,KatsMeow23 won by resignation,Chess.com,2
1020,2024.01.06,Black,bi-otta,0-1,Win,425,238,180+2,B10,,KatsMeow23 won by resignation,Chess.com,18
1021,2024.01.06,White,pikabisa12,0-1,Loss,416,402,180+2,C50,,pikabisa12 won by checkmate,Chess.com,28
1022,2024.01.06,White,Tbiscuit8,1-0,Win,424,400,180+2,C57,,KatsMeow23 won by checkmate,Chess.com,47
1023,2024.01.06,White,Perfalerf,0-1,Loss,416,437,180+2,B07,,Perfalerf won by resignation,Chess.com,26
1024,2024.01.06,Black,devlia93,1-0,Loss,408,409,180+2,B10,,devlia93 won on time,Chess.com,53
1025,2024.01.06,White,Burglewood,1-0,Win,417,418,180+2,C57,,KatsMeow23 won on time,Chess.com,81
1026,2024.01.07,White,Yack1888,0-1,Loss,408,404,180+2,C50,,Yack1888 won on time,Chess.com,44
1027,2024.01.07,Black,RozaMelano,0-1,Win,414,307,180+2,B10,,KatsMeow23 won by resignation,Chess.com,30
1028,2024.01.07,White,Osck7leon,1-0,Win,424,500,180+2,C50,,KatsMeow23 won by checkmate,Chess.com,65
1029,2024.01.07,Black,vladislavmasliy,1-0,Loss,416,431,180+2,B10,,vladislavmasliy won on time,Chess.com,43
1030,2024.01.07,Black,Bluejaidee,1-0,Loss,407,392,180+2,B10,,Bluejaidee won on time,Chess.com,55
1031,2024.01.07,White,asddsaasddsasadsa,1-0,Win,413,323,180+2,C57,,KatsMeow23 won by resignation,Chess.com,41
1032,2024.01.07,Black,trangiaphucp3,1-0,Loss,406,480,180+2,B13,,trangiaphucp3 won on time,Chess.com,41
1033,2024.01.06,Black,patatafricana-20,1-0,Loss,849,778,1/604800,B10,,patatafricana-20 won by resignation,Chess.com,13
1034,2024.01.07,Black,jeabadia465,0-1,Win,413,370,180+2,B10,,KatsMeow23 won - game abandoned,Chess.com,52
1035,2024.01.08,White,mtzimas,0-1,Loss,404,392,180+2,C50,,mtzimas won on time,Chess.com,80
1036,2024.01.08,White,chryslerpower,0-1,Loss,398,477,180+2,C00,,chryslerpower won on time,Chess.com,42
1037,2024.01.08,Black,whileFalse,0-1,Win,406,370,180+2,B12,,KatsMeow23 won by checkmate,Chess.com,64
1038,2024.01.08,Black,SpringMysta,1-0,Loss,400,492,180+2,D02,,SpringMysta won on time,Chess.com,85
1039,2024.01.08,White,PlayerD0490,1-0,Win,406,305,180+2,C50,,KatsMeow23 won by checkmate,Chess.com,49
1040,2024.01.08,Black,BFernandez10,0-1,Win,414,396,180+2,B12,,KatsMeow23 won on time,Chess.com,42
1041,2024.01.08,White,WaffleMan010,1/2-1/2,Draw,412,321,180+2,C50,,Game drawn by insufficient material,Chess.com,95
1042,2024.01.08,White,SeanLawlessZZ,0-1,Loss,404,421,180+2,C50,,SeanLawlessZZ won by checkmate,Chess.com,40
1043,2024.01.08,White,fgpritch,1-0,Win,412,400,180+2,C50,,KatsMeow23 won by resignation,Chess.com,43
1044,2024.01.08,Black,trewqse,1-0,Loss,402,326,180+2,B10,,trewqse won on time,Chess.com,61
1045,2024.01.08,White,PanPelishka,0-1,Loss,394,408,180+2,B30,,PanPelishka won by resignation,Chess.com,36
1046,2024.01.08,Black,omidkhan1995,1-0,Loss,385,403,180+2,B10,,omidkhan1995 won on time,Chess.com,31
1047,2024.01.08,Black,kingjupinus,1-0,Loss,376,371,180+2,B10,,kingjupinus won on time,Chess.com,61
1048,2024.01.08,White,FFB28,0-1,Loss,367,361,300,C57,,FFB28 won on time,Chess.com,90
1049,2024.01.08,Black,pbranis,1-0,Loss,359,363,300,B10,,pbranis won on time,Chess.com,61
1050,2024.01.08,White,zmerrill5,1/2-1/2,Draw,668,646,600,B30,,Game drawn by agreement,Chess.com,86
1051,2024.01.08,Black,Sammybows707,1-0,Loss,660,657,600,B10,,Sammybows707 won by resignation,Chess.com,59
1052,2024.01.08,White,ketts123,0-1,Loss,652,651,600,B01,,ketts123 won by resignation,Chess.com,37
1053,2024.01.08,Black,onwaycation,0-1,Win,368,404,180+2,B15,,KatsMeow23 won on time,Chess.com,36
1054,2024.01.08,Black,tobasth,0-1,Win,378,436,180+2,B12,,KatsMeow23 won on time,Chess.com,46
1055,2024.01.08,White,ugfield,1-0,Win,386,363,180+2,C41,,KatsMeow23 won by resignation,Chess.com,27
1056,2024.01.08,White,arashfd,1-0,Win,393,354,180+2,C00,,KatsMeow23 won on time,Chess.com,73
1057,2024.01.08,White,fkjslad,1-0,Win,399,319,180+2,B10,,KatsMeow23 won by checkmate,Chess.com,53
1058,2024.01.08,Black,jihall1010,1-0,Loss,389,320,180+2,D10,,jihall1010 won on time,Chess.com,67
1059,2024.01.08,Black,wenz_official,1-0,Loss,382,418,180+2,D10,,wenz_official won by resignation,Chess.com,27
1060,2024.01.08,White,cgarrett98,1-0,Win,391,428,180+2,B10,,KatsMeow23 won - game abandoned,Chess.com,15
1061,2024.01.08,Black,judedough,0-1,Win,400,410,180+2,D02,,KatsMeow23 won - game abandoned,Chess.com,32
1062,2024.01.08,White,ChankMate,0-1,Loss,391,369,180+2,C50,,ChankMate won by checkmate,Chess.com,28
1063,2024.01.08,Black,maildock,1/2-1/2,Draw,390,354,180+2,B12,,Game drawn by timeout vs insufficient material,Chess.com,143
1064,2024.01.08,White,Shimwa,1-0,Win,397,337,180+2,B29,,KatsMeow23 won by checkmate,Chess.com,27
1065,2024.01.08,Black,darkxslayer,0-1,Win,406,443,180+2,B10,,KatsMeow23 won by checkmate,Chess.com,50
1066,2024.01.09,Black,sasl7,0-1,Win,413,351,180,B10,,KatsMeow23 won - game abandoned,Chess.com,26
1067,2024.01.09,White,JoeYapzor,0-1,Loss,403,352,180+2,C50,,JoeYapzor won by resignation,Chess.com,48
1068,2024.01.09,White,Lasku18,0-1,Loss,393,325,180+2,C23,,Lasku18 won on time,Chess.com,34
1069,2024.01.09,Black,Crispychips0,0-1,Win,399,302,180+2,B10,,KatsMeow23 won - game abandoned,Chess.com,28
1070,2024.01.09,Black,Zolo23,1-0,Loss,392,447,180+2,B15,,Zolo23 won on time,Chess.com,65
1071,2024.01.09,White,JCB3710,1-0,Win,398,304,180+2,B10,,KatsMeow23 won by checkmate,Chess.com,47
1072,2024.01.09,Black,siddygups,0-1,Win,407,436,180+2,B10,,KatsMeow23 won on time,Chess.com,104
1073,2024.01.10,Black,Farhad1361gh,1-0,Loss,399,433,180+2,B12,,Farhad1361gh won by resignation,Chess.com,45
1074,2024.01.10,White,Ikannkeinchess,1-0,Win,406,357,180+2,C50,,KatsMeow23 won by checkmate,Chess.com,29
1075,2024.01.10,White,umitpoyraz,0-1,Loss,401,533,180+2,B01,,umitpoyraz won on time,Chess.com,70
1076,2024.01.10,Black,vmgadelha,0-1,Win,409,377,180+2,B10,,KatsMeow23 won by checkmate,Chess.com,42
1077,2024.01.10,White,KasparovKaPapa,1-0,Win,418,447,180+2,C47,,KatsMeow23 won by resignation,Chess.com,61
1078,2024.01.10,White,callepallander,0-1,Loss,409,401,180+2,C41,,callepallander won by checkmate,Chess.com,46
1079,2024.01.10,White,Mustafa2535,0-1,Loss,401,426,180+2,B01,,Mustafa2535 won on time,Chess.com,80
1080,2024.01.10,Black,HakanYakin,0-1,Win,409,384,180+2,A00,,KatsMeow23 won by resignation,Chess.com,46
1081,2024.01.10,Black,slats5,0-1,Win,417,397,180+2,B12,,KatsMeow23 won by resignation,Chess.com,24
1082,2024.01.10,White,batuhanatalay4143,0-1,Loss,408,400,180+2,C50,,batuhanatalay4143 won on time,Chess.com,40
1083,2024.01.11,Black,sylv194,1-0,Loss,399,393,180+2,B10,,sylv194 won on time,Chess.com,59
1084,2024.01.11,Black,Wolkje8,0-1,Win,409,478,180+2,B12,,KatsMeow23 won by resignation,Chess.com,42
1085,2024.01.11,White,heysemcil,0-1,Loss,401,410,180+2,B01,,heysemcil won by resignation,Chess.com,44
1086,2024.01.11,White,3lblunderer,0-1,Loss,395,486,180+2,B10,,3lblunderer won by resignation,Chess.com,34
1087,2024.01.11,Black,rdvelazquez,1-0,Loss,388,465,180+2,B10,,rdvelazquez won on time,Chess.com,39
1088,2024.01.12,White,Ilovepoft,0-1,Loss,381,437,180+2,B01,,Ilovepoft won by resignation,Chess.com,6
1089,2024.01.12,Black,eighthnipple,0-1,Win,390,436,180+2,D00,,KatsMeow23 won by checkmate,Chess.com,60
1090,2024.01.12,Black,CNF12,0-1,Win,398,395,180+2,D94,,KatsMeow23 won on time,Chess.com,68
1091,2024.01.12,White,jheinz15,1-0,Win,409,523,180+2,B07,,KatsMeow23 won on time,Chess.com,55
1092,2024.01.12,Black,fignewton865,1-0,Loss,400,380,180+2,A07,,fignewton865 won on time,Chess.com,43
1093,2024.01.12,White,danpark001,0-1,Loss,392,422,180+2,C50,,danpark001 won by resignation,Chess.com,17
1094,2024.01.12,White,92schach,1-0,Win,399,320,180+2,C57,,KatsMeow23 won by resignation,Chess.com,19
1095,2024.01.12,Black,articoneairconditioning,1-0,Loss,391,405,180+2,B10,,articoneairconditioning won on time,Chess.com,61
1096,2024.01.12,White,dawoodster4242,1-0,Win,400,406,180+2,B30,,KatsMeow23 won on time,Chess.com,39
1097,2024.01.12,White,MaleckiL,0-1,Loss,393,444,180+2,C50,,MaleckiL won on time,Chess.com,74
1098,2024.01.12,Black,skrt_cobain95,1-0,Loss,385,412,180+2,B12,,skrt_cobain95 won on time,Chess.com,73
1099,2024.01.12,Black,Spantilov,1-0,Loss,375,325,180+2,A40,,Spantilov won on time,Chess.com,57
1100,2024.01.12,White,mikman78,0-1,Loss,366,360,180+2,C50,,mikman78 won on time,Chess.com,60
1101,2024.01.12,Black,bigpon86,1-0,Loss,360,454,180+2,B13,,bigpon86 won by checkmate,Chess.com,49
1102,2024.01.12,Black,gymhoff,1-0,Loss,354,461,180+2,B12,,gymhoff won on time,Chess.com,47
1103,2024.01.12,White,daedalus102,0-1,Loss,348,439,180+2,B30,,daedalus102 won by resignation,Chess.com,38
1104,2024.01.12,Black,dies97,1-0,Loss,341,403,180+2,B10,,dies97 won by resignation,Chess.com,36
1105,2024.01.12,White,Omarwerceqe,1-0,Win,347,267,180+2,C40,,KatsMeow23 won on time,Chess.com,61
1106,2024.01.12,Black,dkonop,1-0,Loss,338,331,180+2,B10,,dkonop won on time,Chess.com,51
1107,2024.01.13,White,Juansebeli,1-0,Win,346,328,300,C50,,KatsMeow23 won by resignation,Chess.com,29
1108,2024.01.13,White,msomarriba,1-0,Win,354,353,300,C50,,KatsMeow23 won by checkmate,Chess.com,55
1109,2024.01.13,Black,AlfonsoGL83,1-0,Loss,345,339,300,D00,,AlfonsoGL83 won on time,Chess.com,43
1110,2024.01.13,White,josajayakan,0-1,Loss,644,646,600,C50,,josajayakan won by checkmate,Chess.com,66
1111,2024.01.13,Black,itsmethatguy1,0-1,Win,652,625,600,D00,,KatsMeow23 won on time,Chess.com,98
1112,2024.01.13,Black,Regalos-Finos,1-0,Loss,644,679,600,B12,,Regalos-Finos won by checkmate,Chess.com,53
1113,2024.01.13,White,nomak191,0-1,Loss,339,453,180+2,C50,,nomak191 won by checkmate,Chess.com,46
1114,2024.01.13,Black,mystic_004,1-0,Loss,332,385,180+2,B15,,mystic_004 won by checkmate,Chess.com,41
1115,2024.01.13,White,radarsnsake,1-0,Win,652,645,600,B01,,KatsMeow23 won by resignation,Chess.com,71
1116,2024.01.13,White,gmoneybaby123,0-1,Loss,324,349,180+2,C57,,gmoneybaby123 won on time,Chess.com,66
1117,2024.01.14,Black,Eskapesigma,0-1,Win,331,279,180+2,B10,,KatsMeow23 won by resignation,Chess.com,28
1118,2024.01.14,White,abhishek121512,0-1,Loss,322,290,180+2,C50,,abhishek121512 won by checkmate,Chess.com,44
1119,2024.01.14,Black,Hakonhjellum,0-1,Win,327,203,180+2,B15,,KatsMeow23 won on time,Chess.com,64
1120,2024.01.14,White,fabsch77,1-0,Win,335,320,180+2,C00,,KatsMeow23 won by checkmate,Chess.com,119
1121,2024.01.14,Black,RPMco14,1-0,Loss,329,410,180+2,B10,,RPMco14 won by resignation,Chess.com,73
1122,2024.01.15,White,The_Blazing_Bishop,1-0,Win,337,314,180+2,C50,,KatsMeow23 won by checkmate,Chess.com,31
1123,2024.01.15,Black,DSupertrampx,0-1,Win,345,319,180+2,A11,,KatsMeow23 won by checkmate,Chess.com,86
1124,2024.01.15,White,anashadidi02,0-1,Loss,335,343,180+2,C20,,anashadidi02 won on time,Chess.com,86
1125,2024.01.15,Black,Blueweek,1-0,Loss,327,326,180+2,A40,,Blueweek won on time,Chess.com,53
1126,2024.01.15,Black,yotambal,0-1,Win,336,340,180+2,B15,,KatsMeow23 won on time,Chess.com,44
1127,2024.01.15,White,Thiagoxxe,1-0,Win,344,322,180+2,C50,,KatsMeow23 won by checkmate,Chess.com,13
1128,2024.01.15,Black,jointorik,1-0,Loss,336,340,180+2,B12,,jointorik won on time,Chess.com,37
1129,2024.01.15,White,dagnir38,0-1,Loss,328,364,180+2,C55,,dagnir38 won on time,Chess.com,94
1130,2024.01.15,White,Bocamoll,1-0,Win,336,320,180+2,C50,,KatsMeow23 won by resignation,Chess.com,49
1131,2024.01.15,Black,Scrap_NL,0-1,Win,342,252,180+2,B36,,KatsMeow23 won on time,Chess.com,50
1132,2024.01.15,Black,kkluggg,0-1,Win,349,293,180+2,A40,,KatsMeow23 won - game abandoned,Chess.com,26
1133,2024.01.15,White,RyoWilko,1-0,Win,355,263,180+2,C55,,KatsMeow23 won on time,Chess.com,43
1134,2024.01.15,White,mnimd,1-0,Win,363,364,180+2,D02,,KatsMeow23 won by checkmate,Chess.com,41
1135,2024.01.15,White,mtrueblood91,0-1,Loss,357,441,180+2,D02,,mtrueblood91 won by checkmate,Chess.com,126
1136,2024.01.15,White,Sara2493,1-0,Win,363,259,180+2,C50,,KatsMeow23 won by resignation,Chess.com,47
1137,2024.01.15,Black,Dr-Rudolf,0-1,Win,373,432,180+2,B27,,KatsMeow23 won on time,Chess.com,46
1138,2024.01.15,Black,sunakop,1-0,Loss,367,478,180+2,B06,,sunakop won on time,Chess.com,61
1139,2024.01.15,Black,ADT_1983,1-0,Loss,360,396,180+2,B20,,ADT_1983 won by checkmate,Chess.com,9
1140,2024.01.15,White,noctnoise,1-0,Win,369,387,180+2,D02,,KatsMeow23 won by resignation,Chess.com,13
1141,2024.01.15,Black,RLarch1,1-0,Loss,362,413,180+2,B30,,RLarch1 won on time,Chess.com,47
1142,2024.01.15,White,tijngriekspoor,1-0,Win,370,374,180+2,A40,,KatsMeow23 won by checkmate,Chess.com,15
1143,2024.01.15,Black,Andres87381,0-1,Win,375,244,180+2,B20,,KatsMeow23 won by checkmate,Chess.com,110
1144,2024.01.15,Black,briandillingham,0-1,Win,386,513,180+2,B22,,KatsMeow23 won by resignation,Chess.com,46
1145,2024.01.15,White,JonasDh,0-1,Loss,379,437,180+2,A45,,JonasDh won on time,Chess.com,36
1146,2024.01.15,Black,acularw,1-0,Loss,370,359,180+2,B30,,acularw won on time,Chess.com,59
1147,2024.01.15,White,Sulta_nm,0-1,Loss,359,231,180+2,D00,,Sulta_nm won on time,Chess.com,52
1148,2024.01.16,White,DK-JU,1-0,Win,369,432,180+2,D02,,KatsMeow23 won by checkmate,Chess.com,37
1149,2024.01.16,White,DasLoh,0-1,Loss,360,329,180+2,D02,,DasLoh won on time,Chess.com,74
1150,2024.01.16,Black,CheeseGamer3000,0-1,Win,370,458,180+2,B30,,KatsMeow23 won by checkmate,Chess.com,38
1151,2024.01.16,Black,i3ullbum,1-0,Loss,361,353,180+2,B22,,i3ullbum won by checkmate,Chess.com,35
1152,2024.01.16,White,Hoggorm2,1-0,Win,367,279,180+2,A40,,KatsMeow23 won by resignation,Chess.com,20
1153,2024.01.16,White,choopa77,1-0,Win,376,388,180+2,A80,,KatsMeow23 won by checkmate,Chess.com,39
1154,2024.01.05,Black,lap10502300,0-1,Win,860,1014,1/604800,D00,,KatsMeow23 won by resignation,Chess.com,28
1155,2024.01.16,Black,seppo1k,0-1,Win,383,314,180+2,D02,,KatsMeow23 won by resignation,Chess.com,28
1156,2024.01.16,Black,Evgeniy9711,1-0,Loss,376,446,180+2,B12,,Evgeniy9711 won on time,Chess.com,47
1157,2024.01.16,White,CamLynch,1-0,Win,386,434,180+2,A40,,KatsMeow23 won on time,Chess.com,29
1158,2024.01.16,White,Gretsky1998,1-0,Win,394,391,180+2,D02,,KatsMeow23 won by checkmate,Chess.com,55
1159,2023.11.13,White,Enyad07,1-0,Win,872,1103,1/604800,D00,,KatsMeow23 won on time,Chess.com,37
1160,2024.01.16,White,nomiS444,1-0,Win,403,429,180+2,D02,,KatsMeow23 won by resignation,Chess.com,35
1161,2024.01.16,Black,josebautista10,0-1,Win,412,416,180+2,B20,,KatsMeow23 won by checkmate,Chess.com,58
1162,2024.01.16,Black,nomuti59,1-0,Loss,405,473,180+2,B34,,nomuti59 won by resignation,Chess.com,55
1163,2024.01.17,Black,RUFO2023,0-1,Win,415,479,180+2,B20,,KatsMeow23 won on time,Chess.com,44
1164,2024.01.17,White,RUFO2023,0-1,Loss,408,486,180+2,D00,,RUFO2023 won on time,Chess.com,40
1165,2024.01.17,White,braniac88,0-1,Loss,401,464,180+2,A48,,braniac88 won on time,Chess.com,54
1166,2024.01.17,White,chapuui,1-0,Win,409,387,180+2,A40,,KatsMeow23 won by checkmate,Chess.com,49
1167,2024.01.17,Black,Rangelphi,0-1,Win,418,425,180+2,D02,,KatsMeow23 won by resignation,Chess.com,18
1168,2024.01.17,Black,rycaga,1-0,Loss,410,434,180+2,B30,,rycaga won on time,Chess.com,49
1169,2024.01.17,White,juanjo5650910,1-0,Win,416,330,180+2,D02,,KatsMeow23 won on time,Chess.com,29
1170,2024.01.17,Black,emilyridout,1-0,Loss,410,507,180+2,B30,,emilyridout won on time,Chess.com,51
1171,2024.01.17,White,tonklawongsangeam,0-1,Loss,402,423,180+2,A48,,tonklawongsangeam won on time,Chess.com,48
1172,2024.01.17,Black,Northen_Sodalite_Camel,1-0,Loss,396,488,180+2,B22,,Northen_Sodalite_Camel won by resignation,Chess.com,42
1173,2024.01.17,Black,khoinguyen5737385,0-1,Win,404,389,180+2,B20,,KatsMeow23 won by checkmate,Chess.com,60
1174,2024.01.17,White,usefulpawn30,0-1,Loss,397,435,180+2,D02,,usefulpawn30 won on time,Chess.com,30
1175,2024.01.17,White,EPTEM1S,0-1,Loss,389,445,180+2,D02,,EPTEM1S won on time,Chess.com,64
1176,2024.01.17,Black,Fifkon1,1-0,Loss,382,431,180+2,D00,,Fifkon1 won on time,Chess.com,79
1177,2024.01.17,Black,GGnr4,1-0,Loss,375,414,180+2,D00,,GGnr4 won on time,Chess.com,59
1178,2024.01.17,White,henselva,1-0,Win,382,324,180+2,D02,,KatsMeow23 won by resignation,Chess.com,33
1179,2024.01.17,White,lulu745026,1-0,Win,388,278,180+2,D02,,KatsMeow23 won by resignation,Chess.com,25
1180,2024.01.18,Black,julian-408,0-1,Win,396,367,180+2,A00,,KatsMeow23 won by resignation,Chess.com,33
1181,2024.01.18,Black,dsamaraweera,0-1,Win,403,365,180+2,B23,,KatsMeow23 won on time,Chess.com,54
1182,2024.01.18,White,PabloBuenosAires,0-1,Loss,395,391,180+2,D02,,PabloBuenosAires won by resignation,Chess.com,70
1183,2024.01.18,Black,PabloBuenosAires,0-1,Win,403,383,180+2,B21,,KatsMeow23 won by resignation,Chess.com,40
1184,2024.01.18,White,PabloBuenosAires,0-1,Loss,395,391,180+2,C50,,PabloBuenosAires won by resignation,Chess.com,36
1185,2024.01.07,White,patatafricana-20,1-0,Win,877,762,1/604800,C41,,KatsMeow23 won by checkmate,Chess.com,41
1186,2024.01.18,White,Bauerntauscher201,0-1,Loss,385,306,180+2,D00,,Bauerntauscher201 won by resignation,Chess.com,78
1187,2024.01.18,Black,burnttoad01,0-1,Win,391,292,180+2,B21,,KatsMeow23 won by resignation,Chess.com,24
1188,2024.01.18,White,larakh1424,0-1,Loss,384,434,180+2,A40,,larakh1424 won on time,Chess.com,70
1189,2024.01.18,Black,koecklu,1-0,Loss,379,520,180+2,A35,,koecklu won by resignation,Chess.com,63
1190,2024.01.18,Black,trottellettort,1-0,Loss,371,372,180+2,A08,,trottellettort won on time,Chess.com,39
1191,2024.01.18,White,martinovicgk,1-0,Win,379,376,180+2,D00,,KatsMeow23 won on time,Chess.com,61
1192,2024.01.18,Black,Xma0,1-0,Loss,371,373,180+2,B20,,Xma0 won on time,Chess.com,37
1193,2024.01.18,White,dougandskeeter,0-1,Loss,364,436,180+2,D00,,dougandskeeter won on time,Chess.com,80
1194,2024.01.18,White,serenjade,0-1,Loss,356,358,180+2,D00,,serenjade won by checkmate,Chess.com,68
1195,2024.01.18,Black,ichliebeoefentlichesrecht,0-1,Win,364,345,180+2,B21,,KatsMeow23 won on time,Chess.com,52
